,No,time_played,position,height,weight,salary,nth_year,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played,age,place_prev_season,is_youth,is_old,j12_total_num_played,j1na_total_num_played,j12_total_scores,j1na_total_scores,prev12_num_played,prev123_num_played,prev12_scores,prev123_scores,prev12_time_played,prev123_time_played,prev12_div,prev123_div
380,16.0,0.0,GK,187.0,84.0,750.0,7.0,other,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,True,True,True,2,0,0,0,0,0,136.0,0.0,0.0,31,2.0,False,False,12.0,6.0,6.0,0.0,0,2,0,0,0.0,136.0,2,3
381,17.0,1754.0,MF,176.0,68.0,800.0,4.0,other,25.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,True,True,True,2,7,16,0,0,0,14.0,479.0,1041.0,22,2.0,False,False,25.0,25.0,0.0,0.0,23,25,0,0,1520.0,1534.0,2,3
382,18.0,340.0,FW,171.0,68.0,6000.0,2.0,brazil,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,36,38,8,21,15,1,0.0,0.0,414.0,27,2.0,False,False,8.0,8.0,1.0,1.0,46,82,16,37,414.0,414.0,1,1
383,19.0,1449.0,MF,155.0,60.0,650.0,2.0,other,12.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,True,False,True,7,3,5,0,0,1,291.0,70.0,232.0,22,2.0,False,False,13.5,12.0,2.5,1.0,8,15,1,1,302.0,593.0,1,2
384,20.0,0.0,MF,175.0,74.0,4000.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,8,21,27,2,2,7,0.0,0.0,0.0,30,2.0,False,False,0.0,0.0,0.0,0.0,48,56,9,11,0.0,0.0,0,0
385,21.0,668.0,DF,179.0,74.0,480.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,0,0,0,0,0,0,0.0,0.0,0.0,23,2.0,False,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1
386,22.0,2295.0,DF,171.0,65.0,1200.0,3.0,other,33.0,2.0,116.0,2.0,0.0,0.0,0.0,0.0,False,True,True,28,4,29,1,0,2,2261.0,136.0,2471.0,27,2.0,False,False,91.0,33.0,60.0,2.0,33,61,2,3,2607.0,4868.0,2,2
387,23.0,2520.0,GK,185.0,82.0,600.0,3.0,other,0.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,True,True,False,0,0,20,0,0,0,0.0,0.0,1800.0,21,2.0,True,False,10.0,0.0,10.0,0.0,20,20,0,0,1800.0,1800.0,1,2
388,25.0,1506.0,MF,172.0,65.0,700.0,4.0,other,24.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,True,True,True,0,10,14,0,0,0,0.0,486.0,811.0,22,2.0,False,False,24.0,24.0,0.0,0.0,24,24,0,0,1297.0,1297.0,2,3
389,26.0,112.0,MF,176.0,71.0,1300.0,4.0,other,88.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,True,True,True,12,18,22,3,4,2,523.0,965.0,767.0,27,2.0,False,False,97.0,88.0,21.0,12.0,40,52,6,9,1732.0,2255.0,2,3
390,27.0,90.0,DF,178.0,78.0,1200.0,2.0,other,56.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,True,True,False,23,30,8,1,1,0,1900.0,2626.0,457.0,26,2.0,False,False,58.5,56.0,4.5,2.0,38,61,1,2,3083.0,4983.0,1,2
391,28.0,1304.0,MF,170.0,64.0,2500.0,9.0,other,238.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,True,True,True,26,14,19,0,0,0,1938.0,815.0,892.0,34,2.0,False,True,253.5,238.0,20.5,5.0,33,59,0,0,1707.0,3645.0,2,3
392,29.0,2213.0,DF,181.0,76.0,480.0,2.0,other,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,True,True,True,0,0,1,0,0,0,0.0,0.0,22.0,19,2.0,True,False,1.0,1.0,0.0,0.0,1,1,0,0,22.0,22.0,2,3
393,30.0,0.0,MF,176.0,66.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,0,0,22,0,0,4,0.0,0.0,0.0,20,2.0,True,False,0.0,0.0,0.0,0.0,22,22,4,4,0.0,0.0,1,1
394,31.0,4.0,FW,177.0,66.0,480.0,2.0,other,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,False,True,True,0,1,1,0,0,0,0.0,23.0,20.0,20,2.0,True,False,2.0,2.0,0.0,0.0,2,2,0,0,43.0,43.0,2,2
395,1.0,360.0,GK,185.0,76.0,1500.0,12.0,other,72.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,True,False,False,13,35,1,0,0,0,1170.0,3105.0,90.0,30,0.0,False,False,90.0,72.0,18.0,0.0,36,49,0,0,3195.0,4365.0,0,1
396,2.0,2342.0,DF,183.0,68.0,1800.0,1.0,other,32.0,1.0,130.0,8.0,0.0,0.0,0.0,0.0,False,False,False,38,42,36,2,4,1,3322.0,3780.0,3110.0,27,0.0,False,False,97.0,32.0,66.0,1.0,78,116,5,7,6890.0,10212.0,0,0
397,3.0,2655.0,DF,181.0,74.0,2400.0,9.0,other,191.0,7.0,36.0,2.0,0.0,0.0,0.0,0.0,True,True,True,33,33,27,2,1,2,2912.0,2967.0,2324.0,32,0.0,False,True,209.0,191.0,25.0,7.0,60,93,3,5,5291.0,8203.0,2,3
398,4.0,2052.0,MF,182.0,72.0,1400.0,5.0,other,12.0,0.0,138.0,14.0,0.0,0.0,0.0,0.0,True,False,False,1,36,40,0,2,6,10.0,2762.0,2985.0,24,0.0,False,False,81.0,12.0,69.0,0.0,76,77,8,8,5747.0,5757.0,0,1
399,5.0,1211.0,DF,176.0,73.0,1000.0,5.0,other,2.0,0.0,62.0,8.0,0.0,0.0,0.0,0.0,True,False,False,2,21,41,0,3,5,37.0,1617.0,3674.0,27,0.0,False,False,33.0,2.0,31.0,0.0,62,64,8,8,5291.0,5328.0,0,1
400,7.0,1205.0,MF,174.0,67.0,1500.0,8.0,other,172.0,8.0,71.0,4.0,0.0,0.0,0.0,0.0,True,False,False,11,35,36,0,2,2,509.0,2983.0,3110.0,30,0.0,False,False,207.5,172.0,43.5,8.0,71,82,4,4,6093.0,6602.0,0,1
401,8.0,1765.0,FW,190.0,89.0,8000.0,2.0,other,0.0,0.0,32.0,20.0,0.0,0.0,1.0,0.0,False,False,False,0,16,31,0,6,20,0.0,0.0,2542.0,34,0.0,False,True,16.0,1.0,16.0,0.0,47,47,26,26,2542.0,2542.0,0,0
402,9.0,2944.0,MF,176.0,72.0,2300.0,10.0,other,268.0,33.0,39.0,4.0,0.0,0.0,0.0,0.0,True,True,False,34,34,39,2,2,4,2563.0,2661.0,2947.0,33,0.0,False,True,287.5,268.0,52.5,33.0,73,107,6,8,5608.0,8171.0,1,2
403,11.0,490.0,MF,167.0,64.0,1500.0,9.0,other,115.0,9.0,45.0,4.0,0.0,0.0,0.0,0.0,True,False,False,26,19,26,2,1,3,1318.0,983.0,1062.0,28,0.0,False,False,137.5,115.0,31.5,9.0,45,71,4,6,2045.0,3363.0,0,1
404,13.0,2727.0,MF,170.0,68.0,1500.0,5.0,other,53.0,1.0,93.0,4.0,0.0,0.0,0.0,0.0,True,False,False,23,25,40,0,1,2,1964.0,2101.0,3482.0,30,0.0,False,False,99.5,53.0,47.5,1.0,65,88,3,3,5583.0,7547.0,0,1
405,14.0,0.0,DF,188.0,75.0,1800.0,1.0,other,252.0,5.0,69.0,3.0,0.0,0.0,5.0,0.0,True,False,False,21,40,29,0,1,2,1782.0,3530.0,1896.0,36,0.0,False,True,286.5,257.0,39.5,5.0,69,90,3,3,5426.0,7208.0,0,1
406,15.0,2852.0,MF,176.0,83.0,4500.0,2.0,brazil,0.0,0.0,39.0,17.0,0.0,0.0,0.0,0.0,False,False,False,33,14,39,5,7,17,0.0,0.0,3188.0,26,0.0,False,False,19.5,0.0,19.5,0.0,53,86,24,29,3188.0,3188.0,0,0
407,16.0,527.0,FW,178.0,71.0,1500.0,1.0,other,0.0,0.0,156.0,31.0,0.0,0.0,0.0,0.0,False,False,False,37,41,41,8,7,12,2736.0,3616.0,3598.0,28,0.0,False,False,78.0,0.0,78.0,0.0,82,119,19,27,7214.0,9950.0,0,0
408,17.0,9.0,MF,170.0,66.0,500.0,2.0,other,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,12,0,0,0,0.0,0.0,128.0,24,0.0,False,False,6.0,0.0,6.0,0.0,12,12,0,0,128.0,128.0,0,0
409,18.0,0.0,FW,186.0,78.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,19,0.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
410,20.0,244.0,FW,188.0,88.0,1300.0,2.0,other,68.0,12.0,165.0,37.0,0.0,0.0,0.0,0.0,True,True,False,30,12,26,7,2,3,1402.0,289.0,1024.0,29,0.0,False,False,150.5,68.0,94.5,12.0,38,68,5,12,1313.0,2715.0,1,2
411,21.0,1800.0,GK,191.0,82.0,3000.0,2.0,other,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,False,False,False,10,19,42,0,0,0,0.0,0.0,3690.0,26,0.0,False,False,21.0,0.0,21.0,0.0,61,71,0,0,3690.0,3690.0,0,0
412,22.0,555.0,MF,175.0,66.0,4500.0,3.0,other,72.0,7.0,117.0,18.0,0.0,0.0,31.0,1.0,False,False,False,16,36,26,4,6,3,0.0,2597.0,900.0,35,0.0,False,True,130.5,103.0,65.5,8.0,62,78,9,13,3497.0,3497.0,0,0
413,23.0,1828.0,MF,179.0,77.0,2500.0,10.0,other,195.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,True,27,21,33,1,2,7,1548.0,1801.0,2597.0,27,0.0,False,False,195.5,195.0,20.5,20.0,54,81,9,10,4398.0,5946.0,2,3
414,24.0,509.0,DF,172.0,73.0,480.0,3.0,other,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,4,2,0,0,0,0.0,313.0,95.0,25,0.0,False,False,3.0,0.0,3.0,0.0,6,6,0,0,408.0,408.0,0,0
415,30.0,1.0,MF,174.0,66.0,400.0,2.0,other,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,20,0.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
416,31.0,900.0,GK,186.0,76.0,400.0,2.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,20,0.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
417,32.0,0.0,FW,183.0,72.0,400.0,2.0,other,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,20,0.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
418,33.0,1293.0,DF,181.0,77.0,2600.0,6.0,other,184.0,4.0,97.0,1.0,0.0,0.0,0.0,0.0,True,False,False,32,41,36,0,0,1,2859.0,3683.0,3007.0,33,0.0,False,True,232.5,184.0,52.5,4.0,77,109,1,1,6690.0,9549.0,0,1
419,34.0,0.0,FW,183.0,80.0,600.0,2.0,other,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,False,False,False,9,1,15,1,0,1,675.0,74.0,236.0,29,0.0,False,False,12.5,0.0,12.5,0.0,16,25,1,2,310.0,985.0,0,0
420,35.0,2289.0,DF,178.0,73.0,1500.0,7.0,other,53.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,False,False,False,23,20,18,0,1,0,1910.0,1742.0,1459.0,30,0.0,False,False,99.0,53.0,46.0,0.0,38,61,1,1,3201.0,5111.0,0,0
421,40.0,1808.0,MF,178.0,70.0,700.0,2.0,other,4.0,0.0,33.0,3.0,0.0,0.0,0.0,0.0,True,True,False,3,1,33,0,0,3,104.0,21.0,1974.0,21,0.0,True,False,20.5,4.0,16.5,0.0,34,37,3,3,1995.0,2099.0,1,2
422,1.0,720.0,GK,188.0,97.0,2000.0,14.0,other,18.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,False,False,False,28,37,21,0,0,0,2497.0,3330.0,1890.0,32,0.0,False,True,126.0,18.0,108.0,0.0,58,86,0,0,5220.0,7717.0,0,0
423,2.0,1620.0,DF,186.0,83.0,1000.0,2.0,other,33.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,True,True,False,6,5,26,0,0,4,330.0,207.0,2326.0,26,0.0,False,False,46.0,33.0,13.0,0.0,31,37,4,4,2533.0,2863.0,1,2
424,3.0,90.0,DF,168.0,68.0,1200.0,3.0,other,0.0,0.0,127.0,3.0,0.0,0.0,0.0,0.0,False,False,False,9,34,21,0,0,1,680.0,2796.0,1469.0,25,0.0,False,False,63.5,0.0,63.5,0.0,55,64,1,1,4265.0,4945.0,0,0
425,5.0,1516.0,DF,179.0,72.0,1500.0,1.0,other,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,22,13,1,0,0,0,1679.0,1060.0,4.0,27,0.0,False,False,74.0,74.0,2.0,2.0,14,36,0,0,1064.0,2743.0,2,3
426,6.0,1325.0,MF,186.0,86.0,4000.0,1.0,other,144.0,8.0,41.0,6.0,0.0,0.0,3.0,0.0,True,True,True,29,27,12,0,1,0,2411.0,2120.0,899.0,30,0.0,False,False,164.5,147.0,28.5,8.0,39,68,1,1,3019.0,5430.0,2,3
427,7.0,2320.0,FW,171.0,74.0,1500.0,4.0,other,0.0,0.0,99.0,21.0,0.0,0.0,0.0,0.0,False,False,False,37,30,32,6,9,6,2285.0,1691.0,2131.0,22,0.0,False,False,49.5,0.0,49.5,0.0,62,99,15,21,3822.0,6107.0,0,0
428,8.0,19.0,MF,172.0,64.0,1500.0,4.0,other,0.0,0.0,99.0,3.0,0.0,0.0,0.0,0.0,False,False,False,38,40,16,1,0,1,3193.0,3538.0,999.0,26,0.0,False,False,49.5,0.0,49.5,0.0,56,94,1,2,4537.0,7730.0,0,0
429,9.0,17.0,FW,182.0,83.0,2200.0,2.0,other,85.0,8.0,148.0,27.0,0.0,0.0,0.0,0.0,True,True,False,11,3,34,0,0,8,140.0,36.0,1741.0,32,0.0,False,True,159.0,85.0,82.0,8.0,37,48,8,8,1777.0,1917.0,1,2
430,10.0,2755.0,FW,183.0,77.0,3000.0,12.0,other,56.0,11.0,260.0,51.0,0.0,0.0,0.0,0.0,False,False,False,35,40,42,5,9,8,3051.0,3512.0,3428.0,30,0.0,False,False,186.0,56.0,141.0,11.0,82,117,17,22,6940.0,9991.0,0,0
431,11.0,836.0,FW,175.0,70.0,2800.0,5.0,other,247.0,46.0,156.0,28.0,0.0,0.0,1.0,0.0,False,False,False,40,31,35,11,5,3,2769.0,2126.0,993.0,33,0.0,False,True,325.0,248.0,124.0,46.0,66,106,8,19,3119.0,5888.0,0,0
432,13.0,1198.0,MF,175.0,72.0,1300.0,1.0,other,21.0,0.0,112.0,13.0,0.0,0.0,0.0,0.0,True,False,False,21,33,32,0,5,6,1786.0,2555.0,2536.0,23,0.0,False,False,77.0,21.0,56.0,0.0,65,86,11,11,5091.0,6877.0,0,1
433,14.0,927.0,FW,179.0,72.0,2000.0,3.0,other,81.0,19.0,74.0,9.0,0.0,0.0,0.0,0.0,False,False,False,17,42,15,4,3,2,507.0,2132.0,167.0,29,0.0,False,False,118.0,81.0,56.0,19.0,57,74,5,9,2299.0,2806.0,0,0
434,15.0,1930.0,MF,175.0,73.0,1800.0,5.0,other,36.0,2.0,138.0,9.0,0.0,0.0,0.0,0.0,True,False,False,7,36,39,0,3,4,396.0,3100.0,3473.0,29,0.0,False,False,105.0,36.0,71.0,2.0,75,82,7,7,6573.0,6969.0,0,1
435,16.0,97.0,MF,169.0,64.0,1000.0,4.0,other,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,False,False,False,27,30,9,2,0,0,2001.0,2310.0,490.0,22,0.0,False,False,33.0,0.0,33.0,0.0,39,66,0,2,2800.0,4801.0,0,0
436,17.0,2085.0,FW,186.0,89.0,5500.0,2.0,brazil,16.0,3.0,56.0,27.0,0.0,0.0,0.0,0.0,True,False,False,16,38,18,3,20,7,1287.0,3299.0,1387.0,28,0.0,False,False,44.0,16.0,31.0,3.0,56,72,27,30,4686.0,5973.0,0,1
437,18.0,2430.0,DF,177.0,72.0,1300.0,2.0,other,20.0,1.0,56.0,1.0,0.0,0.0,0.0,0.0,True,False,False,20,18,38,1,1,0,1214.0,1051.0,3348.0,23,0.0,False,False,48.0,20.0,29.0,1.0,56,76,1,2,4399.0,5613.0,0,1
438,19.0,1260.0,DF,179.0,75.0,2000.0,5.0,other,19.0,0.0,168.0,5.0,0.0,0.0,0.0,0.0,False,False,False,40,42,40,1,4,0,3578.0,3780.0,3596.0,29,0.0,False,False,103.0,19.0,84.0,0.0,82,122,4,5,7376.0,10954.0,0,0
439,20.0,2610.0,DF,184.0,77.0,1300.0,1.0,korea,0.0,0.0,99.0,8.0,0.0,0.0,0.0,0.0,False,False,False,25,35,39,0,4,4,1628.0,3064.0,3464.0,25,0.0,False,False,49.5,0.0,49.5,0.0,74,99,8,8,6528.0,8156.0,0,0
440,21.0,789.0,DF,188.0,78.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,18,0.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
441,22.0,1253.0,MF,167.0,69.0,2800.0,7.0,other,99.0,7.0,129.0,10.0,0.0,0.0,0.0,0.0,True,True,False,0,20,30,0,0,3,0.0,1661.0,2510.0,31,0.0,False,False,163.5,99.0,71.5,7.0,50,50,3,3,4171.0,4171.0,1,2
442,23.0,2250.0,GK,194.0,90.0,4000.0,1.0,korea,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,31,31,27,0,0,0,0.0,0.0,0.0,27,0.0,False,False,0.0,1.0,0.0,0.0,58,89,0,0,0.0,0.0,0,0
443,25.0,90.0,GK,185.0,77.0,480.0,1.0,other,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,False,False,True,1,3,0,0,0,0,90.0,221.0,0.0,26,0.0,False,False,3.0,0.0,3.0,0.0,3,4,0,0,221.0,311.0,1,1
444,26.0,1327.0,DF,186.0,89.0,500.0,2.0,other,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,18,0,0,0,0.0,0.0,1607.0,24,0.0,False,False,9.0,0.0,9.0,0.0,18,18,0,0,1607.0,1607.0,0,0
445,27.0,1055.0,FW,175.0,77.0,480.0,2.0,other,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,False,False,False,0,0,4,0,0,0,0.0,0.0,30.0,19,0.0,True,False,2.0,0.0,2.0,0.0,4,4,0,0,30.0,30.0,0,0
446,29.0,228.0,DF,180.0,72.0,1300.0,1.0,other,0.0,0.0,117.0,8.0,0.0,0.0,0.0,0.0,False,False,False,37,39,41,1,4,3,2212.0,3057.0,3101.0,31,0.0,False,False,58.5,0.0,58.5,0.0,80,117,7,8,6158.0,8370.0,0,0
447,30.0,0.0,DF,176.0,70.0,480.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,23,0.0,False,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
448,33.0,560.0,MF,170.0,68.0,2000.0,7.0,other,30.0,1.0,230.0,16.0,0.0,0.0,0.0,0.0,False,False,False,39,34,36,1,1,9,3363.0,2648.0,3031.0,27,0.0,False,False,145.0,30.0,116.0,1.0,70,109,10,11,5679.0,9042.0,0,0
449,1.0,2430.0,GK,187.0,80.0,7300.0,18.0,other,604.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,True,True,True,34,34,34,0,0,0,3060.0,3060.0,3060.0,40,3.0,False,True,604.0,681.0,0.0,0.0,68,102,0,0,6120.0,9180.0,2,3
450,2.0,2700.0,DF,180.0,70.0,1500.0,7.0,other,96.0,0.0,122.0,11.0,0.0,0.0,0.0,0.0,False,False,True,36,8,33,2,0,0,2868.0,369.0,2874.0,33,3.0,False,True,157.0,96.0,61.0,0.0,41,77,0,2,3243.0,6111.0,1,1
451,3.0,810.0,DF,191.0,84.0,2100.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,15,6,19,0,0,0,0.0,0.0,0.0,25,3.0,False,False,0.0,0.0,0.0,0.0,25,40,0,0,0.0,0.0,0,0
452,5.0,1637.0,DF,189.0,86.0,800.0,2.0,other,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,0,12,7,0,0,0,0.0,1011.0,504.0,24,3.0,False,False,19.0,19.0,0.0,0.0,19,19,0,0,1515.0,1515.0,2,2
453,6.0,1740.0,MF,174.0,70.0,1500.0,1.0,other,63.0,3.0,75.0,4.0,0.0,0.0,0.0,0.0,True,False,True,30,2,26,0,0,3,2367.0,24.0,1429.0,25,3.0,False,False,100.5,63.0,40.5,3.0,28,58,3,3,1453.0,3820.0,1,2
454,7.0,2361.0,MF,176.0,71.0,2900.0,8.0,other,94.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,True,True,True,25,29,11,0,1,2,1665.0,2381.0,990.0,25,3.0,False,False,94.0,97.0,5.0,5.0,40,65,3,3,3371.0,5036.0,2,3
455,9.0,2278.0,FW,199.0,93.0,3800.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,28,11,25,8,0,12,0.0,0.0,0.0,25,3.0,False,False,0.0,0.0,0.0,0.0,36,64,12,20,0.0,0.0,0,0
456,10.0,1228.0,MF,173.0,67.0,3400.0,10.0,other,266.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,33,25,32,9,3,1,2654.0,1592.0,2419.0,32,3.0,False,True,266.0,266.0,35.0,35.0,57,90,4,13,4011.0,6665.0,2,3
457,11.0,2696.0,FW,178.0,71.0,3400.0,6.0,other,133.0,35.0,5.0,0.0,0.0,0.0,6.0,0.0,True,True,True,14,28,31,0,12,10,762.0,2088.0,2731.0,27,3.0,False,False,135.5,139.0,37.5,35.0,59,73,22,22,4819.0,5581.0,2,3
458,13.0,918.0,MF,182.0,73.0,1700.0,8.0,other,72.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,6,17,24,0,1,2,296.0,1137.0,1459.0,25,3.0,False,False,72.0,72.0,6.0,6.0,41,47,3,3,2596.0,2892.0,2,3
459,15.0,2551.0,MF,183.0,85.0,2400.0,1.0,korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,33,31,30,0,1,1,0.0,0.0,0.0,28,3.0,False,False,0.0,0.0,0.0,0.0,61,94,2,2,0.0,0.0,0,0
460,16.0,630.0,GK,190.0,82.0,800.0,1.0,other,9.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,True,False,False,1,41,33,0,0,0,28.0,3690.0,2970.0,29,3.0,False,False,46.0,9.0,37.0,0.0,74,75,0,0,6660.0,6688.0,0,1
461,17.0,826.0,MF,174.0,70.0,2400.0,1.0,other,482.0,26.0,20.0,0.0,0.0,0.0,26.0,3.0,False,True,True,20,12,10,0,0,0,1219.0,400.0,403.0,38,3.0,False,True,492.0,508.0,36.0,29.0,22,42,0,0,803.0,2022.0,2,2
462,18.0,676.0,FW,185.0,79.0,2500.0,3.0,other,41.0,9.0,33.0,3.0,0.0,0.0,0.0,0.0,True,True,True,20,0,4,4,0,1,1528.0,0.0,286.0,28,3.0,False,False,57.5,41.0,25.5,9.0,4,24,1,5,286.0,1814.0,2,3
463,19.0,2666.0,FW,187.0,78.0,2900.0,4.0,other,304.0,42.0,0.0,0.0,0.0,0.0,19.0,2.0,True,True,True,29,26,28,1,2,3,983.0,2295.0,2464.0,32,3.0,False,True,304.0,323.0,42.0,44.0,54,83,5,6,4759.0,5742.0,2,3
464,20.0,546.0,MF,170.0,65.0,1200.0,3.0,other,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,0,22,34,0,1,1,0.0,1503.0,2908.0,25,3.0,False,False,56.0,56.0,2.0,2.0,56,56,2,2,4411.0,4411.0,2,2
465,21.0,0.0,GK,186.0,78.0,600.0,9.0,other,21.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,0,0,0,0.0,0.0,0.0,32,3.0,False,True,32.5,21.0,11.5,0.0,0,0,0,0,0.0,0.0,2,3
466,22.0,129.0,MF,171.0,64.0,1000.0,3.0,other,23.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,False,True,True,0,1,22,0,0,1,0.0,9.0,1452.0,21,3.0,True,False,23.0,23.0,1.0,1.0,23,23,1,1,1461.0,1461.0,2,2
467,23.0,19.0,MF,174.0,68.0,380.0,3.0,other,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,False,True,True,0,4,0,0,0,0,0.0,44.0,0.0,20,3.0,True,False,4.0,4.0,0.0,0.0,4,4,0,0,44.0,44.0,2,2
468,24.0,868.0,DF,171.0,68.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,0,0,0,0,0,0,0.0,0.0,0.0,23,3.0,False,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1
469,26.0,0.0,MF,173.0,68.0,380.0,3.0,other,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,False,True,True,0,0,0,0,0,0,0.0,0.0,0.0,21,3.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,2
470,27.0,70.0,MF,174.0,67.0,380.0,3.0,other,4.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,False,True,True,0,0,4,0,0,0,0.0,0.0,49.0,19,3.0,True,False,4.0,4.0,0.0,0.0,4,4,0,0,49.0,49.0,2,2
471,28.0,0.0,GK,183.0,74.0,850.0,1.0,other,75.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,True,True,True,17,23,11,0,0,0,1472.0,2070.0,990.0,33,3.0,False,True,154.5,75.0,79.5,0.0,34,51,0,0,3060.0,4532.0,2,3
472,29.0,816.0,MF,173.0,72.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,0,0,0,0,0,0,0.0,0.0,0.0,23,3.0,False,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1
473,32.0,545.0,FW,184.0,76.0,3800.0,3.0,other,123.0,39.0,40.0,18.0,0.0,0.0,5.0,1.0,True,True,True,32,29,33,23,7,9,2503.0,2445.0,2147.0,27,3.0,False,False,143.0,128.0,59.0,40.0,62,94,16,39,4592.0,7095.0,2,3
474,33.0,1930.0,DF,173.0,75.0,3100.0,1.0,other,163.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,True,True,True,7,33,12,0,1,0,427.0,2965.0,901.0,29,3.0,False,False,163.0,170.0,2.0,3.0,45,52,1,1,3866.0,4293.0,2,3
